ID,Net_Income_to_Total_Assets,ROA_before_interest_percent_after_tax,Net_profit_before_tax_to_Paid_in_capital,Net_Income_to_Stockholders_Equity,Operating_profit_Paid_in_capital,Total_Asset_Turnover,Total_expense_to_Assets
id_2096,0.813855956,0.567815089,0.197647236,0.843781822,0.127265621,0.056971514,0.005175741
id_4511,0.838855867,0.627180549,0.258494834,0.843831553,0.114596056,0.068965517,0.005185841
id_2423,0.798493292,0.536633232,0.172641581,0.840434003,0.103807384,0.022488756,0.005191666
id_5453,0.822599548,0.591092455,0.205670764,0.842957343,0.109564056,0.373313343,0.005194659
id_5630,0.816825335,0.569832098,0.193213182,0.841691091,0.111330956,0.091454273,0.005196821
id_2410,0.806503089,0.552387702,0.193092527,0.842145383,0.128079861,0.026986507,0.005200914
id_4600,0.846661964,0.619766681,0.258660734,0.843610818,0.111404237,0.064467766,0.005203194
id_2385,0.825446984,0.585095944,0.195430209,0.842775982,0.122697738,0.092953523,0.005206014
id_2395,0.800574741,0.53821413,0.170424553,0.840329258,0.095526569,0.019490255,0.005207024
id_0490,0.814307681,0.562908853,0.178734635,0.841117497,0.098653248,0.062968516,0.005213553
id_4208,0.829492468,0.593763628,0.204667823,0.842430428,0.120295732,0.193403298,0.005239314
id_0295,0.808007589,0.553368949,0.176494985,0.840844572,0.102520885,0.116941529,0.005239795
id_1314,0.843163577,0.614315307,0.201349823,0.842868335,0.122876871,0.103448276,0.005246122
id_4429,0.822191233,0.580571304,0.199147877,0.842336381,0.113903952,0.170914543,0.005288846
id_3834,0.863801292,0.648549935,0.284737199,0.84361892,0.126777078,0.023988006,0.00529743
id_2407,0.826982338,0.586077191,0.210987105,0.842892128,0.142459329,0.067466267,0.005309475
id_2107,0.787521773,0.52245966,0.163313476,0.838912834,0.088711385,0.043478261,0.005312924
id_3450,0.818396357,0.57146751,0.180936581,0.841578548,0.097374892,0.065967016,0.005318191
id_2326,0.80234415,0.54361099,0.176909735,0.840906942,0.107137623,0.031484258,0.005320246
id_6638,0.804093164,0.546718273,0.177663826,0.840633128,0.09403651,0.04197901,0.005328202
id_0392,0.799975604,0.539140863,0.172189126,0.84038227,0.095575423,0.073463268,0.005342011
id_3961,0.80405619,0.546064108,0.174443858,0.840497189,0.100013028,0.037481259,0.005362323
id_1284,0.809002734,0.553914086,0.173636981,0.840824318,0.099614051,0.092953523,0.005368272
id_2481,0.865779196,0.680385957,0.239371088,0.845689207,0.100908691,0.031484258,0.005369758
id_2348,0.811845348,0.558656782,0.177716613,0.841010476,0.101161105,0.073463268,0.005382088
id_2305,0.820367429,0.57730048,0.199268532,0.843668706,0.129512922,0.052473763,0.005390283
id_2309,0.804941018,0.547372438,0.175936958,0.841048803,0.101633364,0.181409295,0.005395033
id_2844,0.815948987,0.568741823,0.176789081,0.841244427,0.093385119,0.00149925,0.005403633
id_6036,0.839576345,0.608591365,0.198582309,0.842387498,0.094549481,0.03898051,0.005407163
id_4721,0.858491444,0.667411688,0.301704246,0.843277218,0.180093475,0.07946027,0.005413606
id_0389,0.800432424,0.539904056,0.171216349,0.840420672,0.093971371,0.014992504,0.005419808
id_1488,0.828336904,0.619712167,0.180634945,0.841929558,0.107772729,0.032983508,0.005423508
id_5325,0.823008459,0.58008068,0.184397858,0.841815884,0.111681079,0.145427286,0.005449464
id_2184,0.808714047,0.558711295,0.186916522,0.84217511,0.118830101,0.034482759,0.005459033
id_2287,0.81930124,0.579099433,0.200588191,0.843479631,0.127974009,0.064467766,0.005467345
id_2446,0.794168945,0.535106847,0.167596712,0.839923007,0.09485075,0.020989505,0.005470299
id_2342,0.802794051,0.54491932,0.178832667,0.841015113,0.102667448,0.311844078,0.005472749
id_0540,0.799990581,0.537723506,0.170673403,0.840274038,0.096723501,0.034482759,0.005491769
id_2985,0.809364337,0.560946358,0.176751376,0.841104317,0.0969922,0.106446777,0.005497544
id_2126,0.798107569,0.53456171,0.17048488,0.840199089,0.09713062,0.049475262,0.00552823
id_6797,0.8181988,0.56972307,0.198831159,0.841466957,0.11661537,0.07946027,0.005534988
id_2355,0.812441669,0.559419974,0.183802127,0.841502129,0.101364665,0.061469265,0.005547272
id_2276,0.799387476,0.53908635,0.172739612,0.840467898,0.099964173,0.035982009,0.005560047
id_4839,0.808957026,0.567488007,0.201545886,0.841103916,0.138624261,0.127436282,0.005578958
id_2432,0.810551131,0.558384213,0.184239499,0.84195182,0.11199049,0.037481259,0.005585553
id_6114,0.836110931,0.59845181,0.208234673,0.842622902,0.098164704,0.068965517,0.005597048
id_2151,0.801315195,0.541157872,0.171216349,0.84041806,0.089517482,0.004497751,0.005606472
id_2447,0.799056532,0.543556476,0.170703567,0.840316509,0.096397805,0.025487256,0.005627644
id_4397,0.850078513,0.629742695,0.192753186,0.842986978,0.102431319,0.059970015,0.005628256
id_0440,0.795785257,0.53281727,0.169029485,0.840029105,0.094549481,0.071964018,0.005666159
id_3353,0.83242684,0.604611862,0.189020436,0.842651492,0.117559887,0.059970015,0.005681155
id_2473,0.832500629,0.595780637,0.197918709,0.842229699,0.100696989,0.047976012,0.00570767
id_2403,0.798686596,0.537614479,0.172189126,0.840331141,0.095705701,0.083958021,0.005728313
id_2169,0.809510943,0.561327955,0.183229017,0.841953789,0.114661195,0.029985007,0.005730884
id_4031,0.8032193,0.545464457,0.182271322,0.840747371,0.102765157,0.07946027,0.005762609
id_2889,0.811247622,0.561982119,0.181034613,0.841581593,0.104190076,0.122938531,0.005770049
id_0298,0.804200628,0.545518971,0.172709449,0.840634049,0.096650219,0.055472264,0.00577021
id_0345,0.805924126,0.547863061,0.173923535,0.840758253,0.096935203,0.061469265,0.005773546
id_4557,0.851891723,0.643698212,0.236136038,0.843807348,0.139975899,0.107946027,0.005784909
id_1117,0.800278547,0.54535543,0.169331121,0.840409128,0.097896005,0.056971514,0.005785136
id_5650,0.824896855,0.596162233,0.220209637,0.843061798,0.12753432,0.505247376,0.005800322
id_1313,0.815441673,0.578063672,0.199728527,0.842229026,0.104515772,0.094452774,0.005804171
id_2264,0.812849851,0.572394243,0.197172159,0.843645538,0.127648314,0.053973013,0.005836877
id_2247,0.808611393,0.552823812,0.181750999,0.840900941,0.107634309,0.110944528,0.005855136
id_4832,0.806760847,0.552060619,0.178802504,0.840736263,0.103945804,0.122938531,0.005859504
id_2170,0.814737146,0.558329699,0.18822864,0.842366936,0.117307473,0.047976012,0.005866551
id_2055,0.807391762,0.551624509,0.183734258,0.841649717,0.109946749,0.035982009,0.005869074
id_6060,0.8540611,0.640590929,0.218626046,0.843470596,0.094451773,0.043478261,0.005871601
id_2629,0.804892276,0.5468273,0.212080537,0.843134912,0.138249711,0.019490255,0.005894715
id_2472,0.847505871,0.630178805,0.194087927,0.843242191,0.098539254,0.010494753,0.005913532
id_1369,0.817378221,0.586077191,0.188854536,0.841366448,0.104035371,0.062968516,0.005915557
id_4807,0.832906699,0.595344527,0.235766533,0.842123604,0.098270555,0.04197901,0.005920943
id_1706,0.811929274,0.56432621,0.179239876,0.841095011,0.107324898,0.043478261,0.005922991
id_2204,0.800714542,0.540340166,0.171751753,0.840607932,0.095648705,0.034482759,0.005924238
id_2310,0.821183083,0.576264719,0.19178795,0.841974843,0.119685052,0.055472264,0.00593267
id_5152,0.843710427,0.609845181,0.201681623,0.842565903,0.110793558,0.043478261,0.005933574
id_3354,0.811990921,0.563181422,0.17628384,0.841285973,0.103335125,0.046476762,0.005951
id_2249,0.796947002,0.532435674,0.169187844,0.840087947,0.09386552,0.014992504,0.00596009
id_4971,0.822636855,0.596216747,0.264693462,0.843293491,0.211124139,0.136431784,0.005962735
id_5526,0.80595851,0.54726341,0.174526808,0.840525779,0.094590193,0.023988006,0.006006933
id_2057,0.796443056,0.532217619,0.16932358,0.840074993,0.083475825,0.046476762,0.006012629
id_0344,0.800351701,0.539249891,0.171706508,0.840386673,0.097896005,0.082458771,0.006032679
id_2233,0.800576643,0.54186655,0.171291758,0.84065202,0.10002117,0.043478261,0.006046558
id_0390,0.791107523,0.523549935,0.166940653,0.839736064,0.092212614,0.11844078,0.006047377
id_4726,0.876739531,0.743567379,0.215179851,0.844417096,0.143794681,0.247376312,0.00605206
id_2359,0.821991837,0.576210205,0.202118996,0.84249455,0.130880844,0.050974513,0.006061688
id_5851,0.860656755,0.646914522,0.217178192,0.843791865,0.091479799,0.047976012,0.006062703
id_2364,0.818657954,0.5809529,0.183394917,0.841585885,0.091968342,0,0.006063593
id_2239,0.81034799,0.560183166,0.183055577,0.841742635,0.113130425,0.050974513,0.006064578
id_2329,0.811249126,0.561927606,0.183357213,0.842941372,0.112674451,0.268365817,0.006069571
id_6216,0.852241301,0.639391627,0.198680341,0.843441392,0.102081196,0.098950525,0.006079875
id_6175,0.798141834,0.537505451,0.171932735,0.840193729,0.086276809,0.043478261,0.00608466
id_2776,0.7889635,0.526166594,0.166850162,0.839572199,0.092424316,0.004497751,0.006087873
id_6819,0.815955879,0.570104666,0.179911017,0.841018548,0.092465028,0.002998501,0.006088568
id_2347,0.806339228,0.549280419,0.173109117,0.840681387,0.097692445,0.035982009,0.006097545
id_5217,0.822765579,0.581007414,0.186464068,0.841679456,0.102138193,0.08095952,0.006131965
id_2048,0.796307535,0.531781509,0.16915014,0.840065484,0.091390232,0.028485757,0.006133183
id_2356,0.798701614,0.538377671,0.170861926,0.840236901,0.096422232,0.010494753,0.006134374
id_0489,0.79767268,0.533744003,0.16982128,0.840140286,0.094810038,0.04197901,0.006135014
id_1145,0.799330881,0.539795028,0.171796999,0.840300897,0.099288355,0.104947526,0.006136712
id_6268,0.806812334,0.551951592,0.181373954,0.840823797,0.10695849,0.272863568,0.006145806
id_1456,0.818746763,0.576646315,0.187459468,0.841563756,0.101665934,0.04047976,0.006180612
id_2043,0.809458788,0.555604012,0.180740517,0.841477177,0.093197844,0.034482759,0.006188437
id_2466,0.803419841,0.549552987,0.173403212,0.840550841,0.099671047,0.025487256,0.006195872
id_2375,0.799405931,0.538977322,0.175356308,0.840659462,0.109417493,0.034482759,0.006196682
id_3237,0.809111777,0.561000872,0.173516326,0.840967568,0.101242529,0.034482759,0.006201639
id_2216,0.80580833,0.55309638,0.176736294,0.841201925,0.104157506,0.055472264,0.006203408
id_3457,0.820635057,0.575828609,0.185709977,0.841890971,0.111672936,0.058470765,0.006216763
id_6051,0.849148503,0.628216311,0.204260614,0.843189724,0.108041429,0.050974513,0.006241436
id_1387,0.798106068,0.538759267,0.169836362,0.840174694,0.095648705,0.04197901,0.006241759
id_0487,0.815916283,0.56607065,0.179368072,0.841092477,0.102960575,0.122938531,0.006245151
id_0351,0.848298004,0.620366332,0.196131513,0.842803849,0.109173221,0.065967016,0.006246978
id_4963,0.811219034,0.56023768,0.182248699,0.841034792,0.104703047,0.127436282,0.006257908
id_1962,0.829022891,0.598724379,0.20539175,0.842116483,0.093702672,0.056971514,0.006259055
id_4805,0.867958906,0.65868949,0.348156248,0.843772877,0.1495025,0.056971514,0.006292453
id_2352,0.798972521,0.541703009,0.172256994,0.840512515,0.100477144,0.218890555,0.00630238
id_1324,0.841239842,0.634757959,0.230291833,0.844545536,0.148908105,0.169415292,0.006320117
id_3803,0.808718599,0.554241169,0.178063494,0.840796166,0.101332096,0.050974513,0.006320609
id_2738,0.812578278,0.559147405,0.176691049,0.840868755,0.098962659,0.047976012,0.006343393
id_2427,0.80514706,0.547972089,0.183802127,0.841839743,0.107072484,0.128935532,0.006362082
id_0069,0.803444357,0.545900567,0.172151421,0.840487618,0.09583598,0.020989505,0.006372529
id_2067,0.820533322,0.582915395,0.192790891,0.842625634,0.119856042,0.110944528,0.006376016
id_2042,0.796792824,0.535379416,0.169670462,0.840139985,0.098107708,0.028485757,0.006392687
id_1811,0.833020592,0.650076319,0.202775055,0.843812076,0.131214682,0.746626687,0.00640011
id_4286,0.846625163,0.618458352,0.190407963,0.842743031,0.103473545,0.062968516,0.006404981
id_6037,0.807495708,0.55222416,0.174277958,0.840708309,0.087180615,0.073463268,0.006408362
id_2190,0.818749428,0.567433493,0.188138149,0.842352507,0.115353298,0.065967016,0.006435419
id_4655,0.858174435,0.65372874,0.239378629,0.844290841,0.132012637,0.101949025,0.006438262
id_1149,0.802487365,0.546282163,0.172837644,0.840681301,0.099296497,0.056971514,0.006461607
id_0170,0.812064216,0.559201919,0.177211372,0.841015335,0.100045597,0.070464768,0.006462832
id_2158,0.800854128,0.538268644,0.172815021,0.840511874,0.098441546,0.037481259,0.006463695
id_2311,0.813895501,0.567597034,0.185393258,0.842565522,0.112259189,0.047976012,0.006464758
id_2115,0.802332448,0.541266899,0.172370108,0.840453185,0.099866465,0.034482759,0.006464833
id_1497,0.804862305,0.545573485,0.171540608,0.840476964,0.09692706,0.056971514,0.006479604
id_2313,0.817444657,0.574465765,0.2094563,0.844602925,0.143607406,0.043478261,0.006484533
id_0250,0.796096362,0.533144352,0.169021944,0.840051394,0.09366196,0.049475262,0.00649314
id_0195,0.808695748,0.55892935,0.174579594,0.841021073,0.095274154,0.026986507,0.006529076
id_1773,0.798092564,0.538268644,0.16965538,0.840251088,0.095298582,0.059970015,0.006529932
id_6296,0.849313157,0.616386829,0.269293417,0.842791509,0.181990653,0.131934033,0.006537177
id_4952,0.805049184,0.551188399,0.181208054,0.840703176,0.109124367,0.061469265,0.006553911
id_6088,0.857131906,0.632250327,0.291652213,0.843298022,0.199773641,0.125937031,0.006599175
id_1108,0.827000011,0.590274749,0.186833572,0.841949082,0.095990685,0.04047976,0.006599442
id_3025,0.78826347,0.522950283,0.165892467,0.839518063,0.094134219,0.014992504,0.006600028
id_0310,0.801301081,0.54273877,0.171593394,0.840410317,0.099011513,0.068965517,0.006601291
id_0107,0.796483203,0.5369058,0.169361285,0.840113834,0.09947563,0.050974513,0.006608918
id_0405,0.810182073,0.557893589,0.174308122,0.84097168,0.097969287,0.08095952,0.006623284
id_3960,0.810322596,0.556694287,0.177022849,0.840901718,0.104898464,0.049475262,0.006628904
id_3412,0.845345,0.632522896,0.198635095,0.843189814,0.125702281,0.097451274,0.006636521
id_4509,0.869950554,0.676406454,0.276939899,0.844518168,0.122648884,0.073463268,0.006638466
id_5877,0.83040262,0.596107719,0.190769927,0.842546049,0.097985572,0.095952024,0.006642643
id_2414,0.797916158,0.537614479,0.172475681,0.840445264,0.106689791,0.017991004,0.006661531
id_2205,0.796666727,0.533362407,0.169843903,0.840121918,0.095648705,0.03898051,0.006670977
id_2261,0.815305879,0.569886611,0.183990649,0.84144681,0.113276988,0.059970015,0.006675116
id_3498,0.838277407,0.612189272,0.194012518,0.842799191,0.123373557,0.068965517,0.006675966
id_2121,0.822501884,0.594199738,0.209501546,0.84455511,0.140326021,0.104947526,0.006677324
id_5016,0.788794962,0.515372874,0.166902948,0.839645599,0.091886918,0,0.006696614
